epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,17.6238,1.2342,1.39477,0.77112,0.8846,0.04,0.86228,0.47132,0.25215,0.0435,0.93772,0.48398,0.26057,1.30258,1.49786,2.63304,0.88974,0.000823992,0.000823992,0.000823992
30,18.2027,1.26056,1.36942,0.75356,0.88396,0.04156,0.89581,0.57874,0.35336,0.04417,0.9521,0.5791,0.32874,1.22008,1.4346,2.56441,0.87674,0.000841222,0.000841222,0.000841222
31,18.7758,1.21228,1.32935,0.73838,0.86241,0.04322,0.93174,0.70264,0.42644,0.0445,0.95928,0.69764,0.40007,1.19961,1.39365,2.45435,0.87206,0.00085766,0.00085766,0.00085766
32,19.3706,1.24853,1.33158,0.74447,0.89187,0.04261,0.91856,0.78607,0.35108,0.04494,0.96886,0.81032,0.44908,1.44786,1.69399,2.3945,0.90842,0.000873306,0.000873306,0.000873306
33,19.949,1.20404,1.37158,0.73457,0.87047,0.04461,0.96168,0.7918,0.42086,0.04567,0.98443,0.79095,0.45345,1.26431,1.46099,2.44202,0.87421,0.00088816,0.00088816,0.00088816
34,20.5419,1.15168,1.32701,0.71294,0.86205,0.044,0.9485,0.74872,0.42092,0.04494,0.96886,0.74599,0.41754,1.33435,1.51582,2.50228,0.88676,0.000902222,0.000902222,0.000902222
35,21.1224,1.1339,1.26365,0.68926,0.86178,0.2218,0.72575,0.69587,0.38548,0.22253,0.72814,0.69442,0.36419,1.45142,1.66966,2.4932,0.9141,0.000915492,0.000915492,0.000915492
36,21.6988,1.11991,1.26014,0.70123,0.86572,0.03989,0.85988,0.57981,0.20844,0.04128,0.88982,0.59167,0.26779,1.85892,2.31203,2.54348,1.05531,0.00092797,0.00092797,0.00092797
37,22.2789,1.20444,1.27634,0.70875,0.87378,0.98593,0.50352,0.73737,0.39896,0.9789,0.49993,0.7336,0.39867,1.22657,1.54738,2.39026,0.87713,0.000939656,0.000939656,0.000939656
38,22.859,1.13774,1.273,0.69505,0.85211,0.98361,0.57485,0.80808,0.46915,0.94467,0.55209,0.76472,0.38862,1.19203,1.43434,2.30217,0.8592,0.00095055,0.00095055,0.00095055
39,23.4386,1.12187,1.25497,0.67113,0.87126,0.96814,0.61874,0.9015,0.50276,0.97002,0.61993,0.89846,0.47898,1.13059,1.31694,2.15571,0.86478,0.000960652,0.000960652,0.000960652
40,24.0281,1.19217,1.33649,0.68595,0.85532,0.98443,0.60562,0.94543,0.54537,0.93381,0.57448,0.87024,0.37265,1.22858,1.36847,2.07369,0.88856,0.000969962,0.000969962,0.000969962
