epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.74267,1.96848,2.56896,3.35064,1.22705,0.54232,0.57082,0.59526,0.35195,0.52578,0.54649,0.56354,0.23807,1.38171,2.33838,1.3884,0.98106,8e-05,8e-05,8e-05
2,3.14427,1.35732,1.81019,1.27035,0.97122,0.94687,0.89235,0.95762,0.56522,0.88524,0.82546,0.8493,0.33223,1.27443,2.22344,0.99045,0.94059,0.000178218,0.000178218,0.000178218
3,4.68808,1.17998,1.54339,0.82689,0.90513,0.94039,0.92704,0.96151,0.60274,0.86937,0.83834,0.84995,0.41187,1.17412,1.83519,0.71756,0.9193,0.000274456,0.000274456,0.000274456
4,6.2014,1.05818,1.31222,0.81188,0.88888,0.96515,0.95994,0.98591,0.65083,0.93512,0.9299,0.94511,0.45139,1.13188,1.46423,0.92301,0.91751,0.000368714,0.000368714,0.000368714
5,7.69829,1.1241,1.2808,0.65209,0.8868,0.84528,0.89882,0.93797,0.58898,0.83371,0.87504,0.91891,0.56493,1.22895,1.53628,2.07608,0.90162,0.000460992,0.000460992,0.000460992
6,9.22692,1.2018,1.40654,0.79587,0.89293,0.70233,0.97139,0.95357,0.6506,0.68992,0.95422,0.93893,0.50908,1.09069,1.41508,2.30891,0.88983,0.00055129,0.00055129,0.00055129
7,10.7654,1.066,1.18533,0.61919,0.86606,0.35689,0.99285,0.50512,0.32856,0.33684,0.93705,0.45714,0.20403,1.09767,1.56243,8.10623,0.91434,0.000639608,0.000639608,0.000639608
8,12.1323,1.09214,1.40797,0.56085,0.88866,0.79674,0.95708,0.84624,0.52941,0.73878,0.8784,0.7623,0.36901,1.09556,1.32948,2.00668,0.91439,0.000725946,0.000725946,0.000725946
9,13.4716,1.05876,1.3824,0.53384,0.86796,0.93515,0.94889,0.97031,0.5415,0.81295,0.79542,0.78965,0.35898,1.33536,1.97546,1.05657,0.97253,0.000810304,0.000810304,0.000810304
10,14.8358,1.12731,1.40007,0.53244,0.86188,0.9251,0.91877,0.96473,0.65036,0.90129,0.87983,0.91773,0.47549,1.06498,2.04895,1.23659,0.90231,0.000892682,0.000892682,0.000892682
11,16.2061,1.09796,1.24266,0.59313,0.88065,0.0018,0.03863,0.00094,0.00034,0.001,0.02146,0.00051,0.00027,2.87269,858,inf,16.5236,0.00097308,0.00097308,0.00097308
12,17.5895,1.1148,1.27714,0.55432,0.88263,0.00214,0.04578,0.00123,0.00048,0.00115,0.02432,0.00058,0.00042,2.8419,650.637,inf,7.19141,0.0010515,0.0010515,0.0010515
13,18.943,1.06201,1.19461,0.52598,0.87128,0.05007,0.52361,0.03599,0.0186,0.04189,0.43491,0.02626,0.01303,1.85619,26.3595,inf,1.36553,0.00112794,0.00112794,0.00112794
14,20.2981,1.06021,1.19926,0.67371,0.91194,0.77216,0.5279,0.6108,0.31653,0.72667,0.48684,0.50461,0.21102,1.79533,12.4084,1.58002,1.076,0.00120239,0.00120239,0.00120239
15,21.6342,1.07336,1.2528,0.52728,0.87812,0.95954,0.88202,0.94826,0.58855,0.90613,0.84238,0.88235,0.40981,1.31632,1.84495,1.00268,0.96144,0.00127487,0.00127487,0.00127487
16,22.9968,1.0951,1.04722,0.55521,0.86764,0.90954,0.90616,0.95819,0.61365,0.8923,0.889,0.92861,0.46742,1.15101,1.64604,1.02116,0.92281,0.00134537,0.00134537,0.00134537
17,24.3559,1.10988,1.14079,0.55981,0.88713,0.90755,0.92132,0.96556,0.61377,0.89319,0.90272,0.93748,0.51091,1.14268,1.47071,0.69476,0.89461,0.00141389,0.00141389,0.00141389
18,25.7024,1.0889,1.06513,0.53435,0.88015,0.9143,0.91574,0.96653,0.64886,0.8868,0.87414,0.91321,0.48333,1.13828,1.93651,0.78591,0.9038,0.00148043,0.00148043,0.00148043
19,27.0545,1.04205,1.13641,0.529,0.886,0.88557,0.89843,0.93349,0.61458,0.84832,0.83834,0.86211,0.44498,1.08994,1.7572,0.76951,0.89591,0.00154498,0.00154498,0.00154498
20,28.4098,1.06548,1.10858,0.50686,0.86607,0.11879,0.56938,0.09794,0.05443,0.11194,0.56509,0.08906,0.04322,1.31749,2.50611,3.95675,0.95629,0.00160756,0.00160756,0.00160756
21,29.7756,1.04264,1.12905,0.50708,0.87062,0.04663,0.54077,0.03247,0.02108,0.04438,0.51788,0.03052,0.01699,1.3103,3.72494,inf,1.03971,0.001604,0.001604,0.001604
22,31.1337,0.99856,1.10023,0.51561,0.85613,0.02267,0.36338,0.01432,0.00905,0.02065,0.3319,0.01283,0.00632,1.58212,33.3334,inf,1.39944,0.0015842,0.0015842,0.0015842
23,32.4918,1.02682,1.33432,0.50911,0.89694,0.02129,0.34621,0.01305,0.00906,0.02004,0.32475,0.01219,0.00655,1.30265,111.906,inf,1.59926,0.0015644,0.0015644,0.0015644
24,33.8625,1.08764,1.36204,0.51652,0.88241,0.02288,0.37482,0.01434,0.01031,0.02201,0.36052,0.01366,0.00798,1.15543,11.9955,inf,1.08145,0.0015446,0.0015446,0.0015446
25,35.2421,1.02638,1.13218,0.51697,0.85026,0.01864,0.34478,0.01182,0.00851,0.01756,0.31617,0.0109,0.00619,1.17147,3.88782,inf,0.96747,0.0015248,0.0015248,0.0015248
