epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.2016,2.95874,3.40048,3.79845,1.66389,0.01033,0.2241,0.00637,0.00222,0.01744,0.37831,0.01238,0.00402,2.30868,2.54369,3.79413,1.40324,2e-05,2e-05,2e-05
2,91.2591,2.2356,2.84378,3.17802,1.29187,0.30188,0.28434,0.20399,0.09999,0.30118,0.29398,0.21266,0.07812,1.55407,2.29861,2.39395,1.04955,5.9406e-05,5.9406e-05,5.9406e-05
3,130.523,1.82984,2.27383,1.99116,1.04246,0.76647,0.55181,0.66452,0.35686,0.74736,0.55663,0.67492,0.28861,1.36388,1.75967,4.61096,0.9892,9.802e-05,9.802e-05,9.802e-05
4,168.834,1.48019,1.8962,1.50552,1.03269,0.66553,0.7253,0.74049,0.40087,0.66995,0.73012,0.75863,0.37661,1.36526,1.71008,5.35195,0.96279,0.000135842,0.000135842,0.000135842
5,208.155,1.57629,2.03788,1.43726,0.98744,0.63819,0.62892,0.69159,0.37121,0.626,0.62113,0.66256,0.32213,1.37974,1.54759,2.1784,0.94961,0.000172872,0.000172872,0.000172872
6,245.798,1.36417,1.70515,1.35598,0.94788,0.84967,0.67952,0.82717,0.49866,0.82516,0.6482,0.77453,0.39834,1.20433,1.50498,2.2656,0.90347,0.00020911,0.00020911,0.00020911
7,285.202,1.351,1.58925,1.13277,0.89448,0.83525,0.73301,0.86006,0.51365,0.82701,0.7012,0.80539,0.39967,1.26223,1.54928,1.68352,0.92835,0.000244556,0.000244556,0.000244556
8,322.447,1.3278,1.54051,0.99688,0.92548,0.88492,0.72771,0.87548,0.52756,0.85435,0.66024,0.79117,0.38562,1.24009,1.74719,1.14123,0.92026,0.00027921,0.00027921,0.00027921
9,359.906,1.28301,1.52011,0.94525,0.9273,0.88922,0.73498,0.88461,0.52281,0.82722,0.68065,0.79872,0.40643,1.271,1.63366,1.31788,0.92044,0.000313072,0.000313072,0.000313072
10,397.131,1.37038,1.57878,0.90571,0.90757,0.87675,0.85542,0.92554,0.54883,0.82086,0.77108,0.85235,0.43916,1.29102,1.51445,1.18559,0.93576,0.000346142,0.000346142,0.000346142
