epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.60486,2.93525,3.52059,3.75141,1.59394,0.00517,0.11138,0.00287,0.0008,0.01133,0.24431,0.00709,0.00207,3.07045,3.09221,4.46061,1.82403,6e-05,6e-05,6e-05
2,2.56639,2.70783,3.64484,3.90777,1.63757,0.10433,0.19401,0.05056,0.0289,0.10402,0.22635,0.06039,0.02796,1.51322,2.04816,3.0639,1.05268,0.000138614,0.000138614,0.000138614
3,3.59207,1.64916,1.99945,1.83626,1.00738,0.64717,0.77761,0.76293,0.39518,0.64392,0.77126,0.76394,0.37683,1.38456,1.5893,3.65419,0.94359,0.000215644,0.000215644,0.000215644
4,4.62781,1.42879,1.7869,1.17091,0.91059,0.82003,0.7312,0.84811,0.48035,0.81313,0.71497,0.82614,0.42246,1.2532,1.57102,2.32536,0.92526,0.00029109,0.00029109,0.00029109
5,5.68525,1.3247,1.63898,0.97386,0.90996,0.89502,0.82701,0.92356,0.52773,0.87331,0.8012,0.88363,0.45881,1.24846,1.54326,2.03041,0.93082,0.000364952,0.000364952,0.000364952
6,6.67625,1.30937,1.62557,0.90039,0.88808,0.83595,0.76891,0.88046,0.51986,0.855,0.71377,0.84154,0.43835,1.2369,1.80276,1.49315,0.9391,0.00043723,0.00043723,0.00043723
7,7.6111,1.29486,1.58924,0.82294,0.90588,0.8044,0.74862,0.84358,0.45048,0.78197,0.72695,0.81789,0.43261,1.45413,1.79165,1.22052,0.99096,0.000507924,0.000507924,0.000507924
8,8.54414,1.34067,1.64857,0.8251,0.90197,0.90472,0.84146,0.91585,0.52172,0.8763,0.80479,0.86967,0.47426,1.28316,1.55982,1.16241,0.96337,0.000577034,0.000577034,0.000577034
9,9.5213,1.22864,1.42942,0.73671,0.89129,0.90994,0.84699,0.93449,0.51377,0.8627,0.76048,0.84574,0.43377,1.31807,1.5189,0.80614,0.95331,0.00064456,0.00064456,0.00064456
10,10.4837,1.29328,1.4065,0.80757,0.93281,0.90423,0.85934,0.93223,0.5191,0.85809,0.81317,0.87616,0.44961,1.29671,1.5302,0.77704,0.95472,0.000710502,0.000710502,0.000710502
11,11.3957,1.25947,1.43805,0.71828,0.91358,0.86582,0.88867,0.9247,0.5362,0.80981,0.83118,0.8708,0.4447,1.25258,1.49529,0.76677,0.94942,0.00077486,0.00077486,0.00077486
12,12.3112,1.24754,1.52596,0.71318,0.91062,0.84168,0.87784,0.90611,0.48442,0.81118,0.83863,0.8651,0.41122,1.21741,1.44112,0.82556,0.91433,0.000837634,0.000837634,0.000837634
13,13.2289,1.2409,1.48363,0.70864,0.87746,0.77131,0.83206,0.88203,0.48109,0.72588,0.74491,0.76889,0.32729,1.31094,1.80375,0.83879,0.93733,0.000898824,0.000898824,0.000898824
14,14.1761,1.24872,1.42809,0.68579,0.89943,0.72693,0.8066,0.83147,0.43034,0.68251,0.73293,0.74326,0.34372,1.20263,1.53706,0.94244,0.90835,0.00095843,0.00095843,0.00095843
15,15.1344,1.23765,1.38236,0.63335,0.88676,0.71967,0.74251,0.79185,0.41953,0.72993,0.67649,0.74643,0.34854,1.28498,1.78082,1.22169,0.93709,0.00101645,0.00101645,0.00101645
16,16.0462,1.14349,1.29975,0.6523,0.88564,0.82175,0.8503,0.88565,0.48256,0.78952,0.79512,0.83691,0.41398,1.15448,1.54448,0.77591,0.90389,0.00107289,0.00107289,0.00107289
17,16.9465,1.27199,1.43387,0.62101,0.89034,0.89178,0.85859,0.93901,0.54934,0.81296,0.77561,0.83035,0.37007,1.16992,1.63163,0.69553,0.91578,0.00112774,0.00112774,0.00112774
18,17.8429,1.23829,1.47698,0.63307,0.89641,0.8633,0.87784,0.92733,0.52934,0.76751,0.78323,0.7804,0.35725,1.1641,1.5587,0.70579,0.91436,0.00118101,0.00118101,0.00118101
19,18.753,1.23739,1.43385,0.62127,0.89931,0.81532,0.92096,0.88236,0.4617,0.76142,0.77605,0.74258,0.31914,1.15654,1.45576,0.71345,0.90078,0.0012327,0.0012327,0.0012327
20,19.6479,1.16598,1.38908,0.62204,0.89553,0.90041,0.91377,0.95745,0.57882,0.8109,0.82036,0.84847,0.38511,1.12704,1.51731,0.66184,0.90746,0.0012828,0.0012828,0.0012828
21,20.5949,1.15595,1.38069,0.62568,0.88655,0.86907,0.92216,0.94565,0.53895,0.78281,0.8,0.79875,0.34479,1.16979,1.59369,0.69579,0.91267,0.00133132,0.00133132,0.00133132
22,21.4936,1.1331,1.29226,0.58743,0.87038,0.79965,0.94641,0.92286,0.48779,0.74875,0.87186,0.85444,0.42946,1.16297,1.49853,0.72553,0.89694,0.00137825,0.00137825,0.00137825
23,22.3936,1.1556,1.36967,0.59501,0.88403,0.86281,0.95329,0.94178,0.53462,0.80774,0.88555,0.87131,0.43052,1.1174,1.3946,0.68793,0.89019,0.0014236,0.0014236,0.0014236
24,23.2931,1.20003,1.31958,0.62076,0.89031,0.83596,0.92769,0.90727,0.53197,0.78159,0.81855,0.79795,0.37989,1.16208,1.5299,0.78464,0.90849,0.00146737,0.00146737,0.00146737
25,24.1998,1.19021,1.36169,0.59652,0.88728,0.85725,0.91257,0.95387,0.57719,0.80961,0.84539,0.86927,0.40067,1.1575,1.43968,0.67352,0.90814,0.00150955,0.00150955,0.00150955
