epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,472.227,1.67738,0.81415,1.02307,0.91856,0.82692,0.92873,0.46425,1.71003,0.8996,1.01037,0.000986206,0.000986206,0.000986206
43,483.676,1.64662,0.78949,0.97647,0.91856,0.82692,0.92873,0.46425,1.71003,0.8996,1.01037,0.00099314,0.00099314,0.00099314
44,494.891,1.59859,0.79573,0.96524,0.91491,0.86731,0.94622,0.48031,1.65175,0.87209,0.99738,0.000999282,0.000999282,0.000999282
45,506.155,1.66289,0.79147,1.0217,0.91491,0.86731,0.94622,0.48031,1.65175,0.87209,0.99738,0.00100463,0.00100463,0.00100463
46,517.113,1.63596,0.78604,0.99162,0.92996,0.88269,0.9556,0.49417,1.60452,0.83785,0.98007,0.00100919,0.00100919,0.00100919
47,528.233,1.71098,0.82097,0.98222,0.92996,0.88269,0.9556,0.49417,1.60452,0.83785,0.98007,0.00101296,0.00101296,0.00101296
48,539.028,1.60613,0.76581,0.97491,0.93671,0.89808,0.96586,0.49787,1.60621,0.82607,0.98085,0.00101593,0.00101593,0.00101593
49,550.216,1.58943,0.773,0.95972,0.93671,0.89808,0.96586,0.49787,1.60621,0.82607,0.98085,0.00101811,0.00101811,0.00101811
50,560.997,1.62393,0.77132,1.00243,0.94778,0.91346,0.96788,0.49578,1.62527,0.79955,0.98542,0.0010195,0.0010195,0.0010195
51,571.789,1.59454,0.76863,0.99118,0.94778,0.91346,0.96788,0.49578,1.62527,0.79955,0.98542,0.00101,0.00101,0.00101
52,583.798,1.60475,0.76431,0.98895,0.95611,0.87972,0.96564,0.49124,1.63384,0.7939,0.98246,0.0009902,0.0009902,0.0009902
53,595.226,1.60268,0.7466,0.99844,0.95611,0.87972,0.96564,0.49124,1.63384,0.7939,0.98246,0.0009704,0.0009704,0.0009704
54,606.642,1.59148,0.75994,0.99595,0.94433,0.86346,0.94827,0.48774,1.62665,0.82046,0.98046,0.0009506,0.0009506,0.0009506
55,617.821,1.58057,0.74467,1.01469,0.94433,0.86346,0.94827,0.48774,1.62665,0.82046,0.98046,0.0009308,0.0009308,0.0009308
56,629.584,1.58396,0.74818,0.98963,0.93191,0.85962,0.93641,0.47802,1.64468,0.84936,0.98209,0.000911,0.000911,0.000911
57,643.43,1.6134,0.74236,1.01635,0.93191,0.85962,0.93641,0.47802,1.64468,0.84936,0.98209,0.0008912,0.0008912,0.0008912
58,657.667,1.57909,0.73395,1.00861,0.95226,0.8823,0.95471,0.49221,1.63691,0.86816,0.97201,0.0008714,0.0008714,0.0008714
59,668.746,1.58696,0.74496,0.98672,0.95226,0.8823,0.95471,0.49221,1.63691,0.86816,0.97201,0.0008516,0.0008516,0.0008516
60,681.179,1.58293,0.74003,0.97185,0.95107,0.89423,0.96257,0.49989,1.6263,0.89024,0.96793,0.0008318,0.0008318,0.0008318
61,692.797,1.58144,0.75472,0.96839,0.95107,0.89423,0.96257,0.49989,1.6263,0.89024,0.96793,0.000812,0.000812,0.000812
62,704.384,1.63219,0.78499,0.96106,0.92964,0.9147,0.96437,0.49589,1.64829,0.90721,0.97637,0.0007922,0.0007922,0.0007922
63,715.378,1.61545,0.75038,1.00421,0.92964,0.9147,0.96437,0.49589,1.64829,0.90721,0.97637,0.0007724,0.0007724,0.0007724
64,726.342,1.63403,0.76365,0.98661,0.92114,0.92093,0.96341,0.49802,1.58438,0.8916,0.96678,0.0007526,0.0007526,0.0007526
65,738.28,1.58921,0.74577,0.97773,0.92114,0.92093,0.96341,0.49802,1.58438,0.8916,0.96678,0.0007328,0.0007328,0.0007328
66,749.21,1.65364,0.77225,1.01365,0.91402,0.92308,0.9605,0.4901,1.57814,0.87642,0.96035,0.000713,0.000713,0.000713
67,760.727,1.60289,0.74525,0.99223,0.91402,0.92308,0.9605,0.4901,1.57814,0.87642,0.96035,0.0006932,0.0006932,0.0006932
68,772.03,1.57837,0.73435,0.97879,0.92837,0.90769,0.96031,0.482,1.61351,0.85246,0.96637,0.0006734,0.0006734,0.0006734
69,782.418,1.5035,0.72199,0.99802,0.92837,0.90769,0.96031,0.482,1.61351,0.85246,0.96637,0.0006536,0.0006536,0.0006536
70,793.007,1.52036,0.72021,0.98329,0.93874,0.89231,0.96075,0.49643,1.54803,0.82396,0.96041,0.0006338,0.0006338,0.0006338
71,804.181,1.54403,0.71374,0.95587,0.93874,0.89231,0.96075,0.49643,1.54803,0.82396,0.96041,0.000614,0.000614,0.000614
72,815.621,1.55459,0.71015,0.97377,0.95256,0.88802,0.9587,0.50258,1.54856,0.81895,0.96449,0.0005942,0.0005942,0.0005942
73,827.412,1.61699,0.72446,1.01239,0.95256,0.88802,0.9587,0.50258,1.54856,0.81895,0.96449,0.0005744,0.0005744,0.0005744
74,838.673,1.54857,0.7016,0.9666,0.95866,0.89194,0.96465,0.50953,1.52363,0.80669,0.96179,0.0005546,0.0005546,0.0005546
75,850.477,1.571,0.73955,0.94152,0.95866,0.89194,0.96465,0.50953,1.52363,0.80669,0.96179,0.0005348,0.0005348,0.0005348
76,862.216,1.54178,0.71987,0.95759,0.95934,0.90758,0.97001,0.52346,1.50225,0.78621,0.95567,0.000515,0.000515,0.000515
77,873.75,1.5437,0.71532,0.96603,0.95934,0.90758,0.97001,0.52346,1.50225,0.78621,0.95567,0.0004952,0.0004952,0.0004952
78,885.099,1.53974,0.70623,0.98137,0.94247,0.92308,0.96471,0.52048,1.52692,0.77207,0.95905,0.0004754,0.0004754,0.0004754
79,896.437,1.5337,0.70796,0.95792,0.94247,0.92308,0.96471,0.52048,1.52692,0.77207,0.95905,0.0004556,0.0004556,0.0004556
80,908.001,1.51054,0.70235,0.96784,0.94546,0.93348,0.97028,0.52923,1.51368,0.75125,0.95671,0.0004358,0.0004358,0.0004358
81,919.437,1.53049,0.70019,0.96593,0.94546,0.93348,0.97028,0.52923,1.51368,0.75125,0.95671,0.000416,0.000416,0.000416
82,930.774,1.5172,0.69551,0.96548,0.94907,0.93846,0.97319,0.54312,1.46428,0.72594,0.95121,0.0003962,0.0003962,0.0003962
83,942.541,1.54118,0.70838,0.97794,0.94907,0.93846,0.97319,0.54312,1.46428,0.72594,0.95121,0.0003764,0.0003764,0.0003764
84,955.242,1.5331,0.69599,0.99191,0.95239,0.92336,0.97135,0.54694,1.46815,0.7033,0.9555,0.0003566,0.0003566,0.0003566
85,966.675,1.46321,0.68008,0.95704,0.95239,0.92336,0.97135,0.54694,1.46815,0.7033,0.9555,0.0003368,0.0003368,0.0003368
86,978.309,1.50297,0.69548,0.95073,0.95259,0.92728,0.97267,0.54337,1.48414,0.69035,0.96112,0.000317,0.000317,0.000317
87,989.748,1.5001,0.68237,0.97241,0.95259,0.92728,0.97267,0.54337,1.48414,0.69035,0.96112,0.0002972,0.0002972,0.0002972
88,1000.7,1.51768,0.67923,0.98277,0.95296,0.93077,0.9759,0.54439,1.4749,0.67926,0.96114,0.0002774,0.0002774,0.0002774
89,1011.41,1.49592,0.67824,0.98527,0.95296,0.93077,0.9759,0.54439,1.4749,0.67926,0.96114,0.0002576,0.0002576,0.0002576
90,1022.69,1.48076,0.68087,0.96117,0.96324,0.92115,0.97468,0.55061,1.45309,0.66962,0.95595,0.0002378,0.0002378,0.0002378
91,1032.61,1.53766,0.7388,1.02533,0.96324,0.92115,0.97468,0.55061,1.45309,0.66962,0.95595,0.000218,0.000218,0.000218
92,1042.33,1.5385,0.79308,1.00986,0.96558,0.91731,0.97548,0.55436,1.46147,0.666,0.9557,0.0001982,0.0001982,0.0001982
93,1051.88,1.53207,0.75223,1.00724,0.96558,0.91731,0.97548,0.55436,1.46147,0.666,0.9557,0.0001784,0.0001784,0.0001784
94,1061.52,1.53925,0.78107,0.99464,0.96918,0.90709,0.97512,0.54859,1.47129,0.66493,0.95647,0.0001586,0.0001586,0.0001586
95,1070.78,1.55612,0.79828,0.99905,0.96918,0.90709,0.97512,0.54859,1.47129,0.66493,0.95647,0.0001388,0.0001388,0.0001388
96,1080.27,1.64049,0.86676,1.00187,0.96934,0.90192,0.97782,0.54809,1.47276,0.6617,0.95662,0.000119,0.000119,0.000119
97,1089.89,1.51866,0.73664,1.00496,0.96934,0.90192,0.97782,0.54809,1.47276,0.6617,0.95662,9.92e-05,9.92e-05,9.92e-05
98,1099.65,1.51507,0.7387,0.99085,0.96745,0.91455,0.97724,0.54416,1.47154,0.65802,0.95704,7.94e-05,7.94e-05,7.94e-05
99,1108.89,1.50416,0.74378,0.97298,0.96745,0.91455,0.97724,0.54416,1.47154,0.65802,0.95704,5.96e-05,5.96e-05,5.96e-05
100,1118.28,1.49697,0.74108,0.97463,0.96943,0.91477,0.97368,0.54452,1.46965,0.65372,0.9573,3.98e-05,3.98e-05,3.98e-05
